id,quote,value,time
0,GBPCAD,1.6783,09:49:59
0,GBPAUD,1.8153,09:50:03
0,GBPCHF,1.2251,09:50:06
0,BTCGBP,"29,566.76",09:50:10
0,EURUSD,1.1001,09:50:14
0,EURJPY,129.8110,09:50:17
0,EURCHF,1.0328,09:50:20
0,EURAUD,1.5306,09:50:24
0,BTCEUR,"35,067.33",09:50:27
0,USDCAD,1.2865,09:50:31
0,USDCHF,0.9389,09:50:35
0,USDAUD,1.3913,09:50:38
0,USDJPY,117.9980,09:50:42
0,BTCUSD,"38,577.50",09:50:45
0,INXINDEXSP,"4,173.11",09:50:49
0,DJIINDEXDJX,"32,945.24",09:50:52
0,GBPUSD,1.3046,09:50:56
0,GBPEUR,1.1859,09:50:59
0,GBPCAD,1.6784,09:51:04
0,GBPAUD,1.8150,09:51:08
0,GBPCHF,1.2246,09:51:11
0,BTCGBP,"29,566.76",09:51:14
0,EURUSD,1.1002,09:51:18
0,EURJPY,129.8235,09:51:21
0,EURCHF,1.0330,09:51:25
0,EURAUD,1.5307,09:51:28
0,BTCEUR,"35,063.48",09:51:31
0,USDCAD,1.2866,09:51:35
0,USDCHF,0.9389,09:51:38
0,USDAUD,1.3913,09:51:42
0,USDJPY,117.9980,09:51:45
0,BTCUSD,"38,577.50",09:51:48
0,INXINDEXSP,"4,173.11",09:51:51
0,DJIINDEXDJX,"32,945.24",09:51:56
0,GBPUSD,1.3046,09:52:00
0,GBPEUR,1.1858,09:52:03
0,GBPCAD,1.6784,09:52:06
0,GBPAUD,1.8154,09:52:10
0,GBPCHF,1.2245,09:52:13
0,BTCGBP,"29,570.23",09:52:17
0,EURUSD,1.1002,09:52:20
0,EURJPY,129.8261,09:52:24
0,EURCHF,1.0329,09:52:27
0,EURAUD,1.5308,09:52:31
0,BTCEUR,"35,063.48",09:52:34
0,USDCAD,1.2866,09:52:38
0,USDCHF,0.9388,09:52:41
0,USDAUD,1.3913,09:52:44
0,USDJPY,117.9870,09:52:48
0,BTCUSD,"38,577.50",09:52:51
0,INXINDEXSP,"4,173.11",09:52:55
0,DJIINDEXDJX,"32,945.24",09:52:58
0,GBPUSD,1.3046,09:53:02
0,GBPEUR,1.1857,09:53:05
0,GBPCAD,1.6785,09:53:09
0,GBPAUD,1.8157,09:53:12
0,GBPCHF,1.2246,09:53:16
0,BTCGBP,"29,565.60",09:53:19
0,EURUSD,1.1005,09:53:23
0,EURJPY,129.8443,09:53:26
0,EURCHF,1.0329,09:53:30
0,EURAUD,1.5311,09:53:34
0,BTCEUR,"35,054.60",09:53:37
0,USDCAD,1.2866,09:53:41
0,USDCHF,0.9385,09:53:45
0,USDAUD,1.3913,09:53:48
0,USDJPY,117.9870,09:53:52
0,BTCUSD,"38,577.50",09:53:55
0,INXINDEXSP,"4,173.11",09:53:58
0,DJIINDEXDJX,"32,945.24",09:54:02
0,GBPUSD,1.3046,09:54:06
0,GBPEUR,1.1856,09:54:09
0,GBPCAD,1.6788,09:54:13
0,GBPAUD,1.8151,09:54:16
0,GBPCHF,1.2244,09:54:20
0,BTCGBP,"29,565.60",09:54:24
0,EURUSD,1.1005,09:54:27
0,EURJPY,129.8012,09:54:30
0,EURCHF,1.0329,09:54:34
0,EURAUD,1.5313,09:54:38
0,BTCEUR,"35,054.60",09:54:41
0,USDCAD,1.2866,09:54:44
0,USDCHF,0.9385,09:54:48
0,USDAUD,1.3915,09:54:51
0,USDJPY,117.9480,09:54:55
0,BTCUSD,"38,577.50",09:54:58
0,INXINDEXSP,"4,173.11",09:55:02
0,DJIINDEXDJX,"32,945.24",09:55:06
0,GBPUSD,1.3046,09:55:09
0,GBPEUR,1.1852,09:55:13
0,GBPCAD,1.6787,09:55:16
0,GBPAUD,1.8152,09:55:19
0,GBPCHF,1.2239,09:55:23
0,BTCGBP,"29,577.18",09:55:26
0,EURUSD,1.1005,09:55:30
0,EURJPY,129.7959,09:55:33
0,EURCHF,1.0326,09:55:37
0,EURAUD,1.5312,09:55:40
0,BTCEUR,"35,026.43",09:55:44
0,USDCAD,1.2867,09:55:47
0,USDCHF,0.9384,09:55:51
0,USDAUD,1.3915,09:55:54
0,USDJPY,117.9480,09:55:58
0,BTCUSD,"38,546.50",09:56:01
0,INXINDEXSP,"4,173.11",09:56:05
0,DJIINDEXDJX,"32,945.24",09:56:09
0,GBPUSD,1.3046,09:56:13
0,GBPEUR,1.1851,09:56:16
0,GBPCAD,1.6780,09:56:19
0,GBPAUD,1.8146,09:56:23
0,GBPCHF,1.2237,09:56:27
0,BTCGBP,"29,577.18",09:56:30
0,EURUSD,1.1005,09:56:34
0,EURJPY,129.7981,09:56:38
0,EURCHF,1.0326,09:56:41
0,EURAUD,1.5312,09:56:44
0,BTCEUR,"35,027.98",09:56:48
0,USDCAD,1.2867,09:56:51
0,USDCHF,0.9384,09:56:55
0,USDAUD,1.3914,09:56:58
0,USDJPY,117.9500,09:57:02
0,BTCUSD,"38,546.50",09:57:06
0,INXINDEXSP,"4,173.11",09:57:09
0,DJIINDEXDJX,"32,945.24",09:57:13
0,GBPUSD,1.3041,09:57:17
0,GBPEUR,1.1849,09:57:20
0,GBPCAD,1.6775,09:57:24
0,GBPAUD,1.8142,09:57:27
0,GBPCHF,1.2238,09:57:31
0,BTCGBP,"29,554.95",09:57:36
0,EURUSD,1.1006,09:57:40
0,EURJPY,129.8207,09:57:43
0,EURCHF,1.0328,09:57:47
0,EURAUD,1.5315,09:57:50
0,BTCEUR,"35,021.81",09:57:54
0,USDCAD,1.2863,09:57:57
0,USDCHF,0.9384,09:58:01
0,USDAUD,1.3914,09:58:04
0,USDJPY,117.9500,09:58:08
0,BTCUSD,"38,546.50",09:58:12
0,INXINDEXSP,"4,173.11",09:58:15
0,DJIINDEXDJX,"32,945.24",09:58:19
0,GBPUSD,1.3044,09:58:23
0,GBPEUR,1.1851,09:58:26
0,GBPCAD,1.6779,09:58:30
0,GBPAUD,1.8144,09:58:33
0,GBPCHF,1.2241,09:58:37
0,BTCGBP,"29,554.95",09:58:40
0,EURUSD,1.1007,09:58:44
0,EURJPY,129.8345,09:58:47
0,EURCHF,1.0329,09:58:50
0,EURAUD,1.5309,09:58:54
0,BTCEUR,"35,021.81",09:58:58
0,USDCAD,1.2863,09:59:01
0,USDCHF,0.9384,09:59:04
0,USDAUD,1.3910,09:59:08
0,USDJPY,117.9545,09:59:11
0,BTCUSD,"38,546.50",09:59:14
0,INXINDEXSP,"4,173.11",09:59:17
0,DJIINDEXDJX,"32,945.24",09:59:21
0,GBPUSD,1.3044,09:59:25
0,GBPEUR,1.1851,09:59:28
0,GBPCAD,1.6771,09:59:32
0,GBPAUD,1.8141,09:59:35
0,GBPCHF,1.2242,09:59:39
0,BTCGBP,"29,551.87",09:59:42
0,EURUSD,1.1007,09:59:46
0,EURJPY,129.8271,09:59:49
0,EURCHF,1.0330,09:59:53
0,EURAUD,1.5310,09:59:56
0,BTCEUR,"35,021.42",09:59:59
0,USDCAD,1.2857,10:00:03
0,USDCHF,0.9386,10:00:07
0,USDAUD,1.3910,10:00:10
0,USDJPY,117.9545,10:00:14
0,BTCUSD,"38,586.50",10:00:17
0,INXINDEXSP,"4,173.11",10:00:20
0,DJIINDEXDJX,"32,945.24",10:00:24
0,GBPUSD,1.3044,10:00:27
0,GBPEUR,1.1851,10:00:31
0,GBPCAD,1.6771,10:00:35
0,GBPAUD,1.8141,10:00:38
0,GBPCHF,1.2242,10:00:41
0,BTCGBP,"29,582.53",10:00:45
0,EURUSD,1.1007,10:00:48
0,EURJPY,129.8335,10:00:53
0,EURCHF,1.0330,10:00:56
0,EURAUD,1.5313,10:00:59
0,BTCEUR,"35,057.76",10:01:03
0,USDCAD,1.2857,10:01:06
0,USDCHF,0.9386,10:01:10
0,USDAUD,1.3912,10:01:13
0,USDJPY,117.9730,10:01:16
0,BTCUSD,"38,586.50",10:01:19
0,INXINDEXSP,"4,173.11",10:01:23
0,DJIINDEXDJX,"32,945.24",10:01:26
0,GBPUSD,1.3041,10:01:30
0,GBPEUR,1.1857,10:01:33
0,GBPCAD,1.6768,10:01:37
0,GBPAUD,1.8143,10:01:40
0,GBPCHF,1.2240,10:01:44
0,BTCGBP,"29,594.49",10:01:47
0,EURUSD,1.0999,10:01:50
0,EURJPY,129.7679,10:01:54
0,EURCHF,1.0326,10:01:58
0,EURAUD,1.5303,10:02:01
0,BTCEUR,"35,080.53",10:02:05
0,USDCAD,1.2863,10:02:08
0,USDCHF,0.9388,10:02:12
0,USDAUD,1.3912,10:02:16
0,USDJPY,117.9730,10:02:20
0,BTCUSD,"38,586.50",10:02:23
0,INXINDEXSP,"4,173.11",10:02:27
0,DJIINDEXDJX,"32,945.24",10:02:30
0,GBPUSD,1.3041,10:02:34
0,GBPEUR,1.1855,10:02:37
0,GBPCAD,1.6773,10:02:41
0,GBPAUD,1.8141,10:02:44
0,GBPCHF,1.2242,10:02:48
0,BTCGBP,"29,594.49",10:02:51
0,EURUSD,1.1000,10:02:55
0,EURJPY,129.7605,10:02:58
0,EURCHF,1.0327,10:03:02
0,EURAUD,1.5308,10:03:05
0,BTCEUR,"35,080.53",10:03:09
0,USDCAD,1.2863,10:03:12
0,USDCHF,0.9388,10:03:16
0,USDAUD,1.3914,10:03:19
0,USDJPY,117.9485,10:03:23
0,BTCUSD,"38,586.50",10:03:26
0,INXINDEXSP,"4,173.11",10:03:29
0,DJIINDEXDJX,"32,945.24",10:03:34
0,GBPUSD,1.3040,10:03:38
0,GBPEUR,1.1854,10:03:41
0,GBPCAD,1.6774,10:03:45
0,GBPAUD,1.8139,10:03:48
0,GBPCHF,1.2241,10:03:52
0,BTCGBP,"29,591.41",10:03:55
0,EURUSD,1.1000,10:03:59
0,EURJPY,129.7491,10:04:02
0,EURCHF,1.0327,10:04:05
0,EURAUD,1.5307,10:04:09
0,BTCEUR,"35,077.06",10:04:13
0,USDCAD,1.2864,10:04:16
0,USDCHF,0.9387,10:04:20
0,USDAUD,1.3914,10:04:23
0,USDJPY,117.9485,10:04:26
0,BTCUSD,"38,586.50",10:04:30
0,INXINDEXSP,"4,173.11",10:04:34
0,DJIINDEXDJX,"32,945.24",10:04:37
0,GBPUSD,1.3040,10:04:41
0,GBPEUR,1.1852,10:04:45
0,GBPCAD,1.6772,10:04:49
0,GBPAUD,1.8133,10:04:52
0,GBPCHF,1.2239,10:04:56
0,BTCGBP,"29,591.41",10:05:00
0,EURUSD,1.1001,10:05:03
0,EURJPY,129.7416,10:05:07
0,EURCHF,1.0327,10:05:10
0,EURAUD,1.5299,10:05:14
0,BTCEUR,"35,126.87",10:05:17
0,USDCAD,1.2864,10:05:21
0,USDCHF,0.9387,10:05:24
0,USDAUD,1.3908,10:05:28
0,USDJPY,117.9455,10:05:31
0,BTCUSD,"38,641.30",10:05:35
0,INXINDEXSP,"4,173.11",10:05:38
0,DJIINDEXDJX,"32,945.24",10:05:42
0,GBPUSD,1.3038,10:05:45
0,GBPEUR,1.1854,10:05:49
0,GBPCAD,1.6775,10:05:52
0,GBPAUD,1.8135,10:05:55
0,GBPCHF,1.2242,10:05:59
0,BTCGBP,"29,635.75",10:06:03
0,EURUSD,1.0999,10:06:06
0,EURJPY,129.7300,10:06:09
0,EURCHF,1.0327,10:06:13
0,EURAUD,1.5299,10:06:16
0,BTCEUR,"35,131.51",10:06:19
0,USDCAD,1.2866,10:06:23
0,USDCHF,0.9389,10:06:27
0,USDAUD,1.3908,10:06:30
0,USDJPY,117.9475,10:06:34
0,BTCUSD,"38,641.30",10:06:38
0,INXINDEXSP,"4,173.11",10:06:41
0,DJIINDEXDJX,"32,945.24",10:06:45
0,GBPUSD,1.3039,10:06:49
0,GBPEUR,1.1854,10:06:53
0,GBPCAD,1.6775,10:06:57
0,GBPAUD,1.8135,10:07:00
0,GBPCHF,1.2242,10:07:04
0,BTCGBP,"29,635.75",10:07:08
0,EURUSD,1.0999,10:07:11
0,EURJPY,129.7455,10:07:15
0,EURCHF,1.0328,10:07:18
0,EURAUD,1.5300,10:07:22
0,BTCEUR,"35,131.51",10:07:25
0,USDCAD,1.2866,10:07:29
0,USDCHF,0.9390,10:07:32
0,USDAUD,1.3910,10:07:35
0,USDJPY,117.9475,10:07:39
0,BTCUSD,"38,641.30",10:07:42
0,INXINDEXSP,"4,173.11",10:07:46
0,DJIINDEXDJX,"32,945.24",10:07:49
0,GBPUSD,1.3038,10:07:53
0,GBPEUR,1.1852,10:07:56
0,GBPCAD,1.6775,10:08:00
0,GBPAUD,1.8135,10:08:03
0,GBPCHF,1.2243,10:08:06
0,BTCGBP,"29,634.98",10:08:10
0,EURUSD,1.1001,10:08:13
0,EURJPY,129.7523,10:08:16
0,EURCHF,1.0330,10:08:20
0,EURAUD,1.5305,10:08:23
0,BTCEUR,"35,125.71",10:08:26
0,USDCAD,1.2867,10:08:29
0,USDCHF,0.9390,10:08:33
0,USDAUD,1.3910,10:08:36
0,USDJPY,117.9475,10:08:39
0,BTCUSD,"38,641.30",10:08:43
0,INXINDEXSP,"4,173.11",10:08:46
0,DJIINDEXDJX,"32,945.24",10:08:50
0,GBPUSD,1.3038,10:08:54
0,GBPEUR,1.1852,10:08:57
0,GBPCAD,1.6777,10:09:01
0,GBPAUD,1.8138,10:09:04
0,GBPCHF,1.2243,10:09:08
0,BTCGBP,"29,634.98",10:09:11
0,EURUSD,1.1001,10:09:15
0,EURJPY,129.7485,10:09:18
0,EURCHF,1.0330,10:09:23
0,EURAUD,1.5306,10:09:26
0,BTCEUR,"35,119.92",10:09:29
0,USDCAD,1.2867,10:09:33
0,USDCHF,0.9387,10:09:36
0,USDAUD,1.3912,10:09:39
0,USDJPY,117.9475,10:09:43
0,BTCUSD,"38,641.30",10:09:46
0,INXINDEXSP,"4,173.11",10:09:50
0,DJIINDEXDJX,"32,945.24",10:09:53
0,GBPUSD,1.3038,10:09:57
0,GBPEUR,1.1850,10:10:00
0,GBPCAD,1.6773,10:10:04
0,GBPAUD,1.8135,10:10:07
0,GBPCHF,1.2239,10:10:11
0,BTCGBP,"29,633.61",10:10:14
0,EURUSD,1.1002,10:10:18
0,EURJPY,129.7651,10:10:21
0,EURCHF,1.0328,10:10:25
0,EURAUD,1.5301,10:10:28
0,BTCEUR,"35,116.46",10:10:31
0,USDCAD,1.2864,10:10:35
0,USDCHF,0.9387,10:10:38
0,USDAUD,1.3910,10:10:41
0,USDJPY,117.9475,10:10:45
0,BTCUSD,"38,637.50",10:10:48
0,INXINDEXSP,"4,173.11",10:10:52
0,DJIINDEXDJX,"32,945.24",10:10:56
0,GBPUSD,1.3036,10:10:59
0,GBPEUR,1.1848,10:11:02
0,GBPCAD,1.6770,10:11:06
0,GBPAUD,1.8132,10:11:09
0,GBPCHF,1.2237,10:11:13
0,BTCGBP,"29,633.61",10:11:16
0,EURUSD,1.1002,10:11:19
0,EURJPY,129.7595,10:11:23
0,EURCHF,1.0326,10:11:26
0,EURAUD,1.5301,10:11:30
0,BTCEUR,"35,116.46",10:11:33
0,USDCAD,1.2864,10:11:37
0,USDCHF,0.9387,10:11:40
0,USDAUD,1.3910,10:11:44
0,USDJPY,117.9425,10:11:47
0,BTCUSD,"38,637.50",10:11:50
0,INXINDEXSP,"4,173.11",10:11:53
0,DJIINDEXDJX,"32,945.24",10:11:57
0,GBPUSD,1.3036,10:12:00
0,GBPEUR,1.1851,10:12:03
0,GBPCAD,1.6769,10:12:07
0,GBPAUD,1.8132,10:12:10
0,GBPCHF,1.2237,10:12:14
0,BTCGBP,"29,641.72",10:12:17
0,EURUSD,1.1002,10:12:21
0,EURJPY,129.7595,10:12:24
0,EURCHF,1.0326,10:12:28
0,EURAUD,1.5303,10:12:31
0,BTCEUR,"35,128.44",10:12:34
0,USDCAD,1.2864,10:12:38
0,USDCHF,0.9387,10:12:41
0,USDAUD,1.3909,10:12:44
0,USDJPY,117.9600,10:12:47
0,BTCUSD,"38,637.50",10:12:51
0,INXINDEXSP,"4,173.11",10:12:54
0,DJIINDEXDJX,"32,945.24",10:12:58
0,GBPUSD,1.3036,10:13:01
0,GBPEUR,1.1852,10:13:05
0,GBPCAD,1.6770,10:13:09
0,GBPAUD,1.8132,10:13:12
0,GBPCHF,1.2234,10:13:15
0,BTCGBP,"29,635.54",10:13:19
0,EURUSD,1.0999,10:13:22
0,EURJPY,129.7430,10:13:26
0,EURCHF,1.0322,10:13:29
0,EURAUD,1.5297,10:13:33
0,BTCEUR,"35,127.28",10:13:36
0,USDCAD,1.2864,10:13:39
0,USDCHF,0.9385,10:13:43
0,USDAUD,1.3909,10:13:46
0,USDJPY,117.9600,10:13:50
0,BTCUSD,"38,637.50",10:13:53
0,INXINDEXSP,"4,173.11",10:13:56
0,DJIINDEXDJX,"32,945.24",10:14:00
0,GBPUSD,1.3036,10:14:04
0,GBPEUR,1.1853,10:14:07
0,GBPCAD,1.6768,10:14:11
0,GBPAUD,1.8131,10:14:15
0,GBPCHF,1.2235,10:14:18
0,BTCGBP,"29,635.54",10:14:21
